ville;code_postal;latitude;longitude;department_name;region
montrond;39300;46.786828301;5.843837081;jura;bourgogne-franche-comté
morbier;39400;46.557287203;6.016436172;jura;bourgogne-franche-comté
mournans charbonny;39250;46.776692106;5.9905407870000005;jura;bourgogne-franche-comté
les moussieres;39310;46.326880758;5.872391483;jura;bourgogne-franche-comté
moutoux;39300;46.790797471;5.943902595;jura;bourgogne-franche-comté
les trois chateaux;39160;46.419552874;5.35630085;jura;bourgogne-franche-comté
nancuise;39270;46.473943072;5.529454815;jura;bourgogne-franche-comté
les nans;39300;46.79445617;5.973982908;jura;bourgogne-franche-comté
nevy les dole;39380;47.002726559;5.51581086;jura;bourgogne-franche-comté
nevy sur seille;39210;46.735070332;5.644726458;jura;bourgogne-franche-comté
offlanges;39290;47.203818512;5.560676356;jura;bourgogne-franche-comté
onoz;39270;46.448708512;5.663245225;jura;bourgogne-franche-comté
orgelet;39270;46.519453561;5.598867642;jura;bourgogne-franche-comté
pagney;39350;47.249741201;5.699474911;jura;bourgogne-franche-comté
passenans;39230;46.804080834;5.623869417;jura;bourgogne-franche-comté
peseux;39120;46.993310722;5.366668785;jura;bourgogne-franche-comté
picarreau;39800;46.754640248;5.756814531;jura;bourgogne-franche-comté
plasne;39800;46.794313254;5.690542388;jura;bourgogne-franche-comté
poids de fiole;39570;46.594688625;5.622458481;jura;bourgogne-franche-comté
poligny;39800;46.818861886;5.773947475;jura;bourgogne-franche-comté
pont du navoy;39300;46.731661169;5.789236418;jura;bourgogne-franche-comté
rahon;39120;46.993964981;5.4744054680000005;jura;bourgogne-franche-comté
rotalier;39190;46.583165602;5.476647948;jura;bourgogne-franche-comté
rothonay;39270;46.515275321;5.527285899;jura;bourgogne-franche-comté
rouffange;39350;47.22663237;5.708697328;jura;bourgogne-franche-comté
les rousses;39220;46.498235856;6.06968778;jura;bourgogne-franche-comté
les rousses;39400;46.498235856;6.06968778;jura;bourgogne-franche-comté
ste agnes;39190;46.614706582;5.474621246;jura;bourgogne-franche-comté
st claude;39200;46.408714547;5.875920618;jura;bourgogne-franche-comté
st cyr montmalin;39600;46.958784809;5.722490744;jura;bourgogne-franche-comté
st didier;39570;46.708595427;5.511372071;jura;bourgogne-franche-comté
val suran;39320;46.386313329;5.443105612;jura;bourgogne-franche-comté
val suran;39320;46.386313329;5.443105612;jura;bourgogne-franche-comté
coteaux du lizon;39170;46.412246961;5.798719091;jura;bourgogne-franche-comté
st maur;39570;46.606897999;5.595990619;jura;bourgogne-franche-comté
st maurice crillat;39130;46.568096837;5.834026935;jura;bourgogne-franche-comté
salans;39700;47.160113967;5.794392815;jura;bourgogne-franche-comté
santans;39380;47.042099833;5.665477502;jura;bourgogne-franche-comté
sarrogna;39270;46.474500649;5.617408824;jura;bourgogne-franche-comté
songeson;39130;46.647137037;5.830542779;jura;bourgogne-franche-comté
soucia;39130;46.540172646;5.757784209;jura;bourgogne-franche-comté
souvans;39380;46.97920539;5.553672934;jura;bourgogne-franche-comté
tassenieres;39120;46.923022059;5.512541577;jura;bourgogne-franche-comté
la tour du meix;39270;46.523696813;5.662745455;jura;bourgogne-franche-comté
trenal;39570;46.636413188;5.4624955790000005;jura;bourgogne-franche-comté
verges;39570;46.658826692;5.684090724;jura;bourgogne-franche-comté
